timestamp,frame_num,action,reasoning,detected_objects
1775716928.1997092,242,TURN_LEFT,"Center risky (2.9), moving to safest: Left (0.7)",person(dynamic_obstacles | d:1.30m | r:2.14)
1775716929.187132,243,TURN_RIGHT,"Center risky (2.7), moving to safest: Right (0.6)",person(dynamic_obstacles | d:1.38m | r:2.03)
1775716929.854438,244,TURN_LEFT,"Center risky (3.0), moving to safest: Left (0.7)",person(dynamic_obstacles | d:1.25m | r:2.22)
1775716930.3174963,245,TURN_RIGHT,"Center risky (2.2), moving to safest: Right (0.1)",person(dynamic_obstacles | d:1.68m | r:1.68)
1775716930.825144,246,TURN_RIGHT,"Center risky (2.8), moving to safest: Right (0.2)",cat(dynamic_obstacles | d:1.27m | r:2.19)
1775716931.2863452,247,TURN_RIGHT,"Center risky (3.2), moving to safest: Right (0.1)",person(dynamic_obstacles | d:1.19m | r:2.33)
1775716931.7924595,248,TURN_RIGHT,"Center risky (2.8), moving to safest: Right (0.2)",person(dynamic_obstacles | d:1.38m | r:2.02)
1775716932.2256594,249,TURN_RIGHT,"Center risky (2.1), moving to safest: Right (0.2)",person(dynamic_obstacles | d:2.28m | r:1.26)
1775716932.661938,250,TURN_LEFT,"Center risky (2.9), moving to safest: Left (0.2)",person(dynamic_obstacles | d:1.34m | r:2.08)
1775716933.0954022,251,TURN_LEFT,"Center risky (2.8), moving to safest: Left (0.2)",person(dynamic_obstacles | d:1.39m | r:2.01)
1775716933.5564363,252,TURN_LEFT,"Center risky (2.8), moving to safest: Left (0.5)",person(dynamic_obstacles | d:1.40m | r:2.00)
1775716934.3128326,253,TURN_RIGHT,"Center risky (2.7), moving to safest: Right (0.1)",person(dynamic_obstacles | d:1.43m | r:1.96)
1775716935.109803,254,TURN_RIGHT,"Center risky (2.8), moving to safest: Right (0.1)",person(dynamic_obstacles | d:1.39m | r:2.01)
1775717660.4918275,0,TURN_LEFT,"Center risky (0.8), moving to safest: Left (0.4)",laptop(unknown | d:10.00m | r:0.05); person(dynamic_obstacles | d:3.92m | r:0.75); mouse(unknown | d:1.40m | r:0.33)
1775717661.502251,1,TURN_LEFT,"Center risky (0.4), moving to safest: Left (0.3)",laptop(unknown | d:10.00m | r:0.05); person(dynamic_obstacles | d:4.12m | r:0.71)
1775717662.0400069,2,TURN_LEFT,"Center risky (0.7), moving to safest: Left (0.3)",laptop(unknown | d:10.00m | r:0.05); person(dynamic_obstacles | d:4.77m | r:0.62); mouse(unknown | d:1.55m | r:0.30)
1775717662.5372276,3,TURN_LEFT,"Center risky (0.4), moving to safest: Left (0.3)",laptop(unknown | d:10.00m | r:0.05); person(dynamic_obstacles | d:3.79m | r:0.77)
1775717663.0415795,4,TURN_LEFT,"Center risky (0.7), moving to safest: Left (0.3)",person(dynamic_obstacles | d:3.36m | r:0.87); laptop(unknown | d:10.00m | r:0.05); mouse(unknown | d:1.46m | r:0.32)
1775717663.571321,5,TURN_LEFT,"Center risky (0.6), moving to safest: Left (0.4)",laptop(unknown | d:10.00m | r:0.05); person(dynamic_obstacles | d:3.35m | r:0.87)
1775717664.0945802,6,TURN_LEFT,"Center risky (0.4), moving to safest: Left (0.3)",person(dynamic_obstacles | d:3.63m | r:0.80); laptop(unknown | d:10.00m | r:0.05)
1775717664.5170238,7,TURN_LEFT,"Center risky (0.5), moving to safest: Left (0.5)",person(dynamic_obstacles | d:1.60m | r:1.77); laptop(unknown | d:10.00m | r:0.05)
1775717664.9317212,8,TURN_LEFT,"Center risky (0.5), moving to safest: Left (0.5)",person(dynamic_obstacles | d:1.74m | r:1.63); laptop(unknown | d:10.00m | r:0.05)
1775717665.3818405,9,MOVE_FORWARD,Center is lowest risk (0.5),person(dynamic_obstacles | d:1.83m | r:1.56); laptop(unknown | d:10.00m | r:0.05)
1775717665.8267112,10,MOVE_FORWARD,Center is lowest risk (0.5),person(dynamic_obstacles | d:1.95m | r:1.47); laptop(unknown | d:10.00m | r:0.05)
1775717666.311359,11,TURN_LEFT,"Center risky (0.5), moving to safest: Left (0.5)",person(dynamic_obstacles | d:1.97m | r:1.45); laptop(unknown | d:10.00m | r:0.05)
1775717671.8851533,12,TURN_LEFT,"Center risky (0.5), moving to safest: Left (0.5)",person(dynamic_obstacles | d:1.62m | r:1.74); laptop(unknown | d:10.00m | r:0.05)
1775717680.2827623,13,TURN_LEFT,"Center risky (0.5), moving to safest: Left (0.5)",person(dynamic_obstacles | d:1.69m | r:1.68); laptop(unknown | d:10.00m | r:0.05)
1775717681.0078516,14,TURN_LEFT,"Center risky (0.5), moving to safest: Left (0.5)",person(dynamic_obstacles | d:1.62m | r:1.74); laptop(unknown | d:10.00m | r:0.05)
1775717681.922575,15,MOVE_FORWARD,Center is lowest risk (0.5),person(dynamic_obstacles | d:1.60m | r:1.77); laptop(unknown | d:10.00m | r:0.05); mouse(unknown | d:10.00m | r:0.05)
1775717683.8612528,16,TURN_LEFT,"Center risky (3.2), moving to safest: Left (0.3)",person(dynamic_obstacles | d:1.15m | r:2.41); mouse(unknown | d:2.68m | r:0.18); laptop(unknown | d:3.09m | r:0.16)
1775717688.0530124,17,TURN_RIGHT,"Center risky (0.5), moving to safest: Right (0.4)",None
